100,-0.0,0.1
150,-0.1,0.2
200,-0.3,0.2
250,-0.6,0.3
300,-1.0,0.3
350,-1.3,0.4
400,-1.7,0.5
450,-2.1,0.5
500,-2.6,0.6
550,-3.0,0.6
600,-3.5,0.7
650,-3.9,0.7
700,-4.4,0.8
750,-4.9,0.9
800,-5.5,1.0
850,-6.0,1.0
900,-6.6,1.1
950,-7.2,1.2
1000,-7.8,1.3
1050,-8.4,1.3
1100,-9.0,1.4
1150,-9.7,1.5
1200,-10.4,1.6
1250,-11.1,1.6
1300,-11.9,1.7
1350,-12.6,1.8
1400,-13.4,1.9
1450,-14.3,2.0
1500,-15.1,2.0
1550,-16.0,2.1
1600,-16.9,2.2
1650,-17.8,2.3
1700,-18.8,2.5
1750,-19.8,2.5
1800,-20.9,2.6
1850,-21.9,2.7
1900,-23.1,2.8
1950,-24.2,2.9
2000,-25.4,3.0
2050,-26.7,3.1
2100,-28.0,3.2
2150,-29.3,3.3
2200,-30.7,3.4
2250,-32.1,3.5
2300,-33.6,3.6
2350,-35.1,3.7
2400,-36.7,3.9
2450,-38.4,4.0
