100,0.5,0.2
150,0.3,0.2
200,-0.0,0.3
250,-0.4,0.4
300,-0.8,0.5
350,-1.3,0.6
400,-1.7,0.7
450,-2.3,0.8
500,-2.8,0.9
550,-3.4,1.0
600,-4.0,1.1
650,-4.6,1.2
700,-5.3,1.3
750,-6.0,1.4
800,-6.7,1.5
850,-7.5,1.6
900,-8.3,1.8
950,-9.1,1.9
1000,-10.0,2.0
1050,-10.9,2.1
1100,-11.9,2.3
1150,-12.9,2.4
1200,-14.0,2.5
1250,-15.1,2.7
1300,-16.3,2.8
1350,-17.5,2.9
1400,-18.9,3.1
1450,-20.2,3.2
1500,-21.7,3.4
1550,-23.2,3.6
1600,-24.8,3.7
1650,-26.5,3.9
1700,-28.2,4.1
1750,-30.1,4.2
1800,-32.0,4.4
1850,-34.1,4.6
1900,-36.2,4.8
1950,-38.5,5.0
