100,-0.0,0.1
150,-0.2,0.2
200,-0.5,0.3
250,-0.8,0.4
300,-1.2,0.5
350,-1.6,0.5
400,-2.0,0.6
450,-2.5,0.7
500,-3.0,0.8
550,-3.5,0.9
600,-4.0,1.0
650,-4.6,1.1
700,-5.2,1.2
750,-5.8,1.3
800,-6.5,1.4
850,-7.2,1.5
900,-7.9,1.6
950,-8.6,1.7
1000,-9.4,1.8
1050,-10.2,1.9
1100,-11.1,2.0
1150,-12.0,2.1
1200,-12.9,2.3
1250,-13.9,2.4
1300,-14.9,2.5
1350,-16.0,2.6
1400,-17.1,2.8
1450,-18.3,2.9
1500,-19.5,3.0
1550,-20.8,3.2
1600,-22.2,3.3
1650,-23.6,3.5
1700,-25.1,3.6
1750,-26.6,3.8
1800,-28.3,3.9
1850,-30.0,4.1
1900,-31.8,4.2
1950,-33.7,4.4
2000,-35.7,4.6
2050,-37.8,4.8
